case,case_group,method,sample_count,q_median,q_p95,median_95_volume_m3,coverage_50,coverage_90,coverage_95,coverage_99
ublox_m8t_step,controlled_fault,marginal_average,142,0.5774338422780938,2.487284510187959,15765.21122832505,0.9154929577464789,1.0,1.0,1.0
ublox_m8t_step,controlled_fault,selected_member_marginal,284,0.9949947418879295,16.960851789189796,4633.986298611731,0.6619718309859155,0.795774647887324,0.8133802816901409,0.8697183098591549
ublox_m8t_ramp,controlled_fault,proposed_envelope,142,0.296865997062972,1.4024112826343227,39119.5046123841,1.0,1.0,1.0,1.0
ublox_m8t_ramp,controlled_fault,same_subset_cu,142,0.2533466172947319,1.4259839226609947,38762.90832495491,1.0,1.0,1.0,1.0
ublox_m8t_ramp,controlled_fault,same_subset_ci,142,4.3445460908861975,24.248828146951443,1887.666817753535,0.323943661971831,0.5915492957746479,0.6267605633802817,0.7394366197183099
ublox_m8t_ramp,controlled_fault,independence_average,142,1.1548676845561876,4.974569020375918,5573.84388319347,0.676056338028169,0.9788732394366197,1.0,1.0
ublox_m8t_ramp,controlled_fault,marginal_average,142,0.5774338422780938,2.487284510187959,15765.21122832505,0.9154929577464789,1.0,1.0,1.0
ublox_m8t_ramp,controlled_fault,selected_member_marginal,284,0.9949947418879295,16.960851789189796,4633.986298611731,0.6619718309859155,0.795774647887324,0.8133802816901409,0.8697183098591549
distributed_novatel_step_f9p_ramp,controlled_fault,proposed_envelope,142,2.9678426518537226,26.640256210424138,61327.71541497996,0.4647887323943662,0.6056338028169014,0.6690140845070423,0.7323943661971831
distributed_novatel_step_f9p_ramp,controlled_fault,same_subset_cu,142,3.5434178204813995,26.8772021038743,56851.50806931432,0.43661971830985913,0.5845070422535211,0.6619718309859155,0.7112676056338029
distributed_novatel_step_f9p_ramp,controlled_fault,same_subset_ci,142,16.800856119812934,555.933079166213,1887.666817753535,0.14788732394366197,0.23943661971830985,0.24647887323943662,0.3028169014084507
distributed_novatel_step_f9p_ramp,controlled_fault,independence_average,142,20.6404619122111,143.14525728256547,5573.84388319347,0.2535211267605634,0.38028169014084506,0.4084507042253521,0.4154929577464789
distributed_novatel_step_f9p_ramp,controlled_fault,marginal_average,142,10.32023095610555,71.57262864128273,15765.21122832505,0.3591549295774648,0.4154929577464789,0.4507042253521127,0.528169014084507
distributed_novatel_step_f9p_ramp,controlled_fault,selected_member_marginal,284,14.893739394508696,497.6898372229305,4633.986298611731,0.2711267605633803,0.323943661971831,0.33098591549295775,0.4014084507042254
